Subject,Number,Name,Section Title,Fall,Spring,Summer
ADV,490,Advanced Special Topics in Advertising,Digital Portfolio,False,True,False
ADV,490,Advanced Special Topics in Advertising,Media Sales Capstone,False,True,False
ADV,490,Advanced Special Topics in Advertising,Sandage Studios,True,True,False
ADV,490,Advanced Special Topics in Advertising,Social Media Analytics,False,True,False
ADV,490,Advanced Special Topics in Advertising,Storytelling for Video in ADV,False,True,False
ADV,490,Advanced Special Topics in Advertising,Topics in Media Literacy Educa,True,False,False
ADV,491,Advertising Management Plan,,False,True,False
ADV,491,Digital Content and Social Media Management,,True,False,False
ADV,492,Tech and Advertising Campaigns,,True,True,False
ADV,494,Persuasion Consumer Response,,False,True,False
ADV,495,Internship Seminar,,True,True,True
ADV,495,Internship Seminar,Ebert Fellowship,True,True,False
ADV,495,Internship Seminar,Media Sales Capstone,True,True,False
ADV,496,UG Research Project,,True,True,False
ADV,498,The Sandage Project,,True,True,False
ADV,509,Media Entrepreneurship,,True,True,False
ADV,550,Foundations of Advertising,,True,False,False
ADV,580,Advertising Theory,,True,False,False
ADV,581,Quanti Research Methods in Adv,,True,False,False
ADV,582,Qualitative Rsrch in Advert,,False,True,False
ADV,587,Graduate Seminar I,,True,False,False
ADV,588,Graduate Seminar II,,False,True,False
ADV,590,Special Topics in Advertising,,True,True,True
ADV,590,Special Topics in Advertising,Adv Quant Research Methods,True,False,False
ADV,590,Special Topics in Advertising,Adv Strat in Digital Media,True,False,False
ADV,590,Special Topics in Advertising,Amazon Advertising Experience,True,False,False
ADV,590,Special Topics in Advertising,Computational Advertising,False,True,False
ADV,590,Special Topics in Advertising,Persuasion Consumer Response,False,True,False
ADV,590,Special Topics in Advertising,Topics in Media Literacy Educa,True,False,False
ADV,594,Advanced Topics in Advertising,Algorithms in ADV & Media,False,True,False
ADV,594,Advanced Topics in Advertising,Digital Tech and Attention,True,False,False
ADV,598,Professional Project,,True,True,True
ADV,599,Thesis Research,,True,True,True
AE,100,Intro to Aerospace Engineering,,True,False,False
AE,140,Aerospace Computer Aided Design,,True,True,False
AE,199,Undergraduate Open Seminar,,True,True,True
AE,199,Undergraduate Open Seminar,"Design, Build, Fly",True,True,False
AE,199,Undergraduate Open Seminar,Introduction to Rocketry,True,False,False
AE,202,Aerospace Flight Mechanics,,True,True,False
AE,298,Special Topics,,True,False,False
AE,298,Special Topics,Intro to Rocketry,False,True,False
AE,298,Special Topics,Introduction to Research,False,True,False
AE,298,Special Topics,Practice Teaching,True,False,False
AE,298,Special Topics,Research Seminar Mentoring,True,False,False
AE,298,Special Topics,South Africa Abroad,True,False,False
AE,311,Incompressible Flow,,True,True,False
AE,312,Compressible Flow,,True,True,False
AE,321,Mechs of Aerospace Structures,,True,True,False
AE,323,Applied Aerospace Structures,,True,True,False
AE,352,Aerospace Dynamical Systems,,True,True,False
AE,353,Aerospace Control Systems,,True,True,False
AE,370,Aerospace Numerical Methods,,True,True,False
AE,395,Honors Project,,True,True,True
AE,396,Honors Seminar,,True,True,False
AE,397,Independent Study,,True,True,True
AE,398,Special Topics,Global Experience Brazil,False,True,False
AE,398,Special Topics,ISG Project,False,True,False
AE,402,Orbital Mechanics,,True,False,True
AE,403,Spacecraft Attitude Control,,False,True,False
AE,410,Computational Aerodynamics,,False,True,True
AE,412,Viscous Flow &amp; Heat Transfer,,True,False,False
AE,416,Applied Aerodynamics,,True,False,False
AE,419,Aircraft Flight Mechanics,,False,True,False
AE,420,Finite Element Analysis,,True,True,True
AE,428,Mechanics of Composites,,False,True,False
AE,433,Aerospace Propulsion,,True,False,False
AE,434,Rocket Propulsion,,False,True,False
AE,435,Electric Propulsion,,False,True,False
AE,435,Electric Space Propulsion,,False,True,False
AE,442,Aerospace Systems Design I,,True,False,False
AE,443,Aerospace Systems Design II,,False,True,False
AE,451,Aeroelasticity,,True,False,False
AE,452,Introduction to Nonlinear Dynamics and Vibrations,,True,False,False
AE,454,Systems Dynamics &amp; Control,,True,False,False
AE,460,Aerodynamics &amp; Propulsion Lab,,True,False,False
AE,461,Structures &amp; Control Lab,,False,True,False
AE,480,Hypersonic Aerothermodynamics,,True,False,False
AE,482,Introduction to Robotics,,True,True,False
AE,483,Autonomous Systems Lab,,True,False,False
AE,484,"UAV Performance, Design, and Fabrication",,False,True,False
AE,485,Spacecraft Environment and Interactions,,True,False,False
AE,497,Independent Study,,True,True,True
AE,498,Special Topics,AE System Safety Case Studies,True,False,False
AE,498,Special Topics,Applied CFD,True,False,False
AE,498,Special Topics,Estimation of Dynamical System,True,False,False
AE,498,Special Topics,Hypersonic AeroThermodynamics,True,False,False
AE,498,Special Topics,Intro to Human Spaceflight,False,True,False
AE,498,Special Topics,Space Launch Vehicle Design,True,False,False
AE,498,Special Topics,Space Structures,True,False,False
AE,498,Special Topics,Structural Design Optimization,False,True,False
AE,498,Special Topics,Sustainable Aviation,True,True,False
AE,502,Advanced Orbital Mechanics,,False,True,False
AE,504,Optimal Aerospace Systems,,True,True,False
AE,508,Optimal Space Trajectories,,False,True,False
AE,510,Advanced Gas Dynamics,,False,True,False
AE,512,Molecular Gas Dynamics,,True,False,False
AE,514,Boundary Layer Theory,,False,True,False
AE,515,Wing Theory,,False,True,False
AE,521,Fracture and Fatigue,,True,True,False
AE,522,Dynamic Response of Materials,,False,True,False
AE,523,Nanoscale Contact Mechanics,,True,False,False
AE,526,Composites Manufacturing,,True,False,False
AE,527,Multi Scale Modeling of Materials,,False,True,False
AE,529,Viscoelasticity Theory,,True,False,False
AE,538,Combustion Fundamentals,,False,True,False
AE,542,Aerospace Syst Engineering I,,True,False,False
AE,543,Aerospace Syst Engineering II,,False,True,False
AE,550,Nonlinear Aeroelasticity,,False,True,False
AE,551,Elastodynamics and Vibrations,,False,True,False
AE,554,Dynamical Systems Theory,,False,True,False
AE,556,Robust Control,,False,True,False
AE,564,Advanced Aero Propulsion Lab,,True,False,False
AE,590,Seminar,,True,True,False
AE,597,Independent Study,,True,True,True
AE,598,Special Topics,An Invitation to 3 D Vision,False,True,False
AE,598,Special Topics,Autonomy Against the Odds,False,True,False
AE,598,Special Topics,Estimation of Dynamical System,True,False,False
AE,598,Special Topics,Learn/Control Multi Agent Sys,True,False,False
